group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
ALL_DGE	MERGED	9870	2124	7746	0.21519756838905776	1.3856344408641466	8.23795567124081e-6	9.061751238364891e-5	3.962455427890519e-4	21.52	DGE	NA	NA
ALL_DGE	OncoKB	9870	726	9144	0.07355623100303951	1.7148815563224928	1.8732268792222847e-5	1.1774568955111504e-4	5.148696255280503e-4	7.36	DGE	NA	NA
ALL_DGE	NCG	9870	1883	7987	0.19078014184397163	1.308579561640198	3.237763195445337e-4	0.001187179838329957	0.005191212019103657	19.08	DGE	NA	NA
ALL_DGE	CGC	9870	342	9528	0.034650455927051675	1.642405434785861	0.004664151304301648	0.014658761242090894	0.06409874484741988	3.47	DGE	NA	NA
ALL_TOX	NCG	3162	622	2540	0.19671094244149273	1.1002863872236093	0.03887951526873196	0.09503881510134479	0.415578687664967	19.67	TOX	NA	NA
ALL_TOX	MERGED	3162	682	2480	0.21568627450980393	1.0560864047849459	0.14937518577956052	0.2527887759346409	1	21.57	TOX	NA	NA
ALL_TOX	OncoKB	3162	199	2963	0.06293485135989879	0.8555010060073517	0.9710369002161257	0.9999941455049572	1	6.29	TOX	NA	NA
ALL_TOX	CGC	3162	84	3078	0.026565464895635674	0.7395492591278742	0.9939763170967106	0.9999941455049572	1	2.66	TOX	NA	NA
ALL_edgeR	OncoKB	8816	663	8153	0.07520417422867513	1.511919311116422	1.2848090758540709e-5	1.0808603570041952e-4	4.726306070145179e-4	7.52	edgeR	NA	NA
ALL_edgeR	CGC	8816	312	8504	0.03539019963702359	1.4618804555591625	0.003839992266547578	0.012996896902161032	0.05683186761700831	3.54	edgeR	NA	NA
ALL_edgeR	MERGED	8816	1888	6928	0.21415607985480944	1.1552411336345232	0.0065854991489590845	0.01931746417027998	0.0844699757708404	21.42	edgeR	NA	NA
ALL_edgeR	NCG	8816	1664	7152	0.18874773139745918	1.0835698180193345	0.09467420349038608	0.1932717818790566	0.8451245250724047	18.87	edgeR	NA	NA
ALL_limma	OncoKB	8087	618	7469	0.07641894398417212	1.463212620822348	7.537108047661136e-6	9.061751238364891e-5	3.962455427890519e-4	7.64	limma	NA	NA
ALL_limma	MERGED	8087	1772	6315	0.21911710152095956	1.2485367490053734	1.4739004868239025e-5	1.0808603570041952e-4	4.726306070145179e-4	21.91	limma	NA	NA
ALL_limma	CGC	8087	301	7786	0.03722022999876345	1.694856053923019	2.5440452482694712e-5	1.399224886548209e-4	6.118426891999826e-4	3.72	limma	NA	NA
ALL_limma	NCG	8087	1569	6518	0.19401508594039818	1.2095360580516548	3.05654255684826e-4	0.001187179838329957	0.005191212019103657	19.4	limma	NA	NA
ONLY_DGE	CGC	8064	287	7777	0.035590277777777776	1.352174973685007	0.00846964280682023	0.023291517718755633	0.10184742262373626	3.56	DGE_only	NA	NA
ONLY_DGE	OncoKB	8064	587	7477	0.07279265873015874	1.1689056973375511	0.034967405058851306	0.09050387191702691	0.3957486241781239	7.28	DGE_only	NA	NA
ONLY_DGE	MERGED	8064	1666	6398	0.2065972222222222	0.9468922196793481	0.862247664568342	0.9999941455049572	1	20.66	DGE_only	NA	NA
ONLY_DGE	NCG	8064	1468	6596	0.18204365079365079	0.9088542870400622	0.9654136602391512	0.9999941455049572	1	18.2	DGE_only	NA	NA
ONLY_TOX	CGC	1356	29	1327	0.021386430678466076	0.6088630607401639	0.9973037351426977	0.9999941455049572	1	2.14	TOX	NA	NA
ONLY_TOX	NCG	1356	207	1149	0.15265486725663716	0.7641873901397184	0.9997573055376912	0.9999941455049572	1	15.27	TOX	NA	NA
ONLY_TOX	OncoKB	1356	60	1296	0.04424778761061947	0.5831306519760281	0.9999893567730131	0.9999941455049572	1	4.42	TOX	NA	NA
ONLY_TOX	MERGED	1356	224	1132	0.16519174041297935	0.7216910683717953	0.9999941455049572	0.9999941455049572	1	16.52	TOX	NA	NA
TOX_AND_DGE	NCG	1806	415	1391	0.22978959025470652	1.3794759565021073	2.121623522139236e-7	8.30154909989888e-6	3.6300398703870715e-5	22.98	shared	NA	NA
TOX_AND_DGE	MERGED	1806	458	1348	0.25359911406423036	1.3536184177490533	3.773431409044946e-7	8.30154909989888e-6	3.6300398703870715e-5	25.36	shared	NA	NA
TOX_AND_DGE	OncoKB	1806	139	1667	0.0769656699889258	1.130654783020043	0.11334978727232597	0.2078079433325976	0.9086871746499159	7.7	shared	NA	NA
TOX_AND_DGE	CGC	1806	55	1751	0.03045404208194906	0.9049680114604004	0.7698362263214751	0.9999941455049572	1	3.05	shared	NA	NA
full_family_mean_TOX	OncoKB	223	21	202	0.09417040358744394	1.3912466806519002	0.10102843143677959	0.1932717818790566	0.8451245250724047	9.42	TOX	full	family_mean
full_family_mean_TOX	CGC	223	10	213	0.04484304932735426	1.3839393576489303	0.2039250378277645	0.32045363087220136	1	4.48	TOX	full	family_mean
full_family_mean_TOX	NCG	223	46	177	0.2062780269058296	1.1391230637726186	0.24159593291674197	0.3665593464943671	1	20.63	TOX	full	family_mean
full_family_mean_TOX	MERGED	223	50	173	0.2242152466367713	1.0948267704810444	0.31307576916064456	0.4577036064972713	1	22.42	TOX	full	family_mean
full_ortholog_mean_TOX	CGC	240	20	220	0.08333333333333333	2.754061594313794	1.367380706197913e-4	6.224343014816393e-4	0.002721734586984975	8.33	TOX	full	ortholog_mean
full_ortholog_mean_TOX	OncoKB	240	33	207	0.1375	2.1662330035358925	1.414623412458271e-4	6.224343014816393e-4	0.002721734586984975	13.75	TOX	full	ortholog_mean
full_ortholog_mean_TOX	MERGED	240	59	181	0.24583333333333332	1.2384779572438682	0.09312722876255192	0.1932717818790566	0.8451245250724047	24.58	TOX	full	ortholog_mean
full_ortholog_mean_TOX	NCG	240	53	187	0.22083333333333333	1.245112484491739	0.09680877609380262	0.1932717818790566	0.8451245250724047	22.08	TOX	full	ortholog_mean
log_family_mean_TOX	NCG	2600	513	2087	0.1973076923076923	1.0987135880711405	0.05157810177718897	0.11944402516822708	0.5222959816565592	19.73	TOX	log	family_mean
log_family_mean_TOX	MERGED	2600	560	2040	0.2153846153846154	1.049825635275485	0.193825251114153	0.3158633721860271	1	21.54	TOX	log	family_mean
log_family_mean_TOX	OncoKB	2600	157	2443	0.060384615384615384	0.8170781175404545	0.9883591394556122	0.9999941455049572	1	6.04	TOX	log	family_mean
log_family_mean_TOX	CGC	2600	66	2534	0.025384615384615384	0.7106126966679042	0.9956390328247413	0.9999941455049572	1	2.54	TOX	log	family_mean
log_ortholog_mean_TOX	NCG	2654	514	2140	0.19366993217784476	1.0662022169555818	0.13436866330329245	0.2364888474137947	1	19.37	TOX	log	ortholog_mean
log_ortholog_mean_TOX	MERGED	2654	564	2090	0.21250941974378296	1.0268147100685054	0.3224729954867139	0.4577036064972713	1	21.25	TOX	log	ortholog_mean
log_ortholog_mean_TOX	OncoKB	2654	155	2499	0.05840241145440844	0.7805967292275643	0.9972257479845666	0.9999941455049572	1	5.84	TOX	log	ortholog_mean
log_ortholog_mean_TOX	CGC	2654	63	2591	0.02373775433308214	0.6524413126766795	0.9994001952435225	0.9999941455049572	1	2.37	TOX	log	ortholog_mean
