cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-STAD	ALL_DGE	OncoKB	11529	812	10717	0.07043108682452945	2.9754234818270118	3.5170198906761594e-9	6.330635803217087e-8	2.6427613913877307e-7	7.04	DGE	NA	NA
TCGA-STAD	ALL_DGE	CGC	11529	386	11143	0.033480787579148234	3.801560361795835	3.6473379454902132e-6	1.6413020754705958e-5	6.851712673873905e-5	3.35	DGE	NA	NA
TCGA-STAD	ALL_DGE	MERGED	11529	2371	9158	0.20565530401595974	1.312189436920015	0.0016861417506746257	0.0060701103024286525	0.02534003478856142	20.57	DGE	NA	NA
TCGA-STAD	ALL_DGE	NCG	11529	2103	9426	0.1824095758521988	1.19897627226984	0.030068548871516484	0.08326675072112256	0.34760198001006887	18.24	DGE	NA	NA
TCGA-STAD	ALL_TOX	NCG	2537	449	2088	0.17698068584942847	0.9696530374909611	0.710871081804684	0.9999999994595675	1	17.7	TOX	NA	NA
TCGA-STAD	ALL_TOX	MERGED	2537	482	2055	0.18998817500985415	0.9039682427567136	0.9660974313257975	0.9999999994595675	1	19	TOX	NA	NA
TCGA-STAD	ALL_TOX	OncoKB	2537	109	2428	0.04296413086322428	0.5668138989535774	0.9999999962448445	0.9999999994595675	1	4.3	TOX	NA	NA
TCGA-STAD	ALL_TOX	CGC	2537	37	2500	0.014584154513204573	0.39471861505599803	0.9999999994085145	0.9999999994595675	1	1.46	TOX	NA	NA
TCGA-STAD	ALL_edgeR	OncoKB	10522	739	9783	0.07023379585630109	1.429633465262697	5.563260371942793e-4	0.0022253041487771174	0.00928966389994278	7.02	edgeR	NA	NA
TCGA-STAD	ALL_edgeR	MERGED	10522	2166	8356	0.2058544003041247	1.1387570071587443	0.021777304569957263	0.07127117859258741	0.2975257540600789	20.59	edgeR	NA	NA
TCGA-STAD	ALL_edgeR	CGC	10522	348	10174	0.03307356015966546	1.373363913400942	0.023763572790274988	0.07129071837082496	0.29760732402102386	3.31	edgeR	NA	NA
TCGA-STAD	ALL_edgeR	NCG	10522	1916	8606	0.18209465881011214	1.0701459591629476	0.15951985916738107	0.38284766200171455	1	18.21	edgeR	NA	NA
TCGA-STAD	ALL_limma	OncoKB	9457	694	8763	0.07338479433224067	1.594116383855207	1.9700099707658567e-7	1.773008973689271e-6	7.40153091711397e-6	7.34	limma	NA	NA
TCGA-STAD	ALL_limma	CGC	9457	340	9117	0.035952204716083326	2.0055356747802136	2.829246119530342e-7	2.037057206061846e-6	8.503815893962272e-6	3.6	limma	NA	NA
TCGA-STAD	ALL_limma	MERGED	9457	2009	7448	0.21243523316062177	1.3008300416422718	6.362792034456528e-7	3.8176752206739166e-6	1.5937111202839302e-5	21.24	limma	NA	NA
TCGA-STAD	ALL_limma	NCG	9457	1792	7665	0.18948926720947445	1.3029869923448885	1.6622690512736065e-6	8.548812263692833e-6	3.568752285706971e-5	18.95	limma	NA	NA
TCGA-STAD	ONLY_DGE	CGC	9878	357	9521	0.036140919214415874	2.533450315886755	1.5315331552976738e-9	5.513519359071626e-8	2.301651294711774e-7	3.61	DGE_only	NA	NA
TCGA-STAD	ONLY_DGE	OncoKB	9878	725	9153	0.07339542417493419	1.7642474926005673	6.7283040027827895e-9	8.073964803339347e-8	3.3705244024376494e-7	7.34	DGE_only	NA	NA
TCGA-STAD	ONLY_DGE	MERGED	9878	2035	7843	0.20601336302895323	1.106233551911548	0.038341690281034194	0.09859291786551651	0.4115819720143103	20.6	DGE_only	NA	NA
TCGA-STAD	ONLY_DGE	NCG	9878	1793	8085	0.18151447661469933	1.0312967229882184	0.3092959546769734	0.6549796687277084	1	18.15	DGE_only	NA	NA
TCGA-STAD	ONLY_TOX	NCG	886	139	747	0.15688487584650113	0.8340448623781782	0.9757833935348206	0.9999999994595675	1	15.69	TOX	NA	NA
TCGA-STAD	ONLY_TOX	MERGED	886	146	740	0.16478555304740405	0.7620850860887981	0.9987469787792663	0.9999999994595675	1	16.48	TOX	NA	NA
TCGA-STAD	ONLY_TOX	CGC	886	8	878	0.009029345372460496	0.2630498807935822	0.9999990832147287	0.9999999994595675	1	0.9	TOX	NA	NA
TCGA-STAD	ONLY_TOX	OncoKB	886	22	864	0.024830699774266364	0.3360866129166799	0.9999999988474189	0.9999999994595675	1	2.48	TOX	NA	NA
TCGA-STAD	TOX_AND_DGE	NCG	1651	310	1341	0.18776499091459722	1.0567817461281204	0.21713631237680825	0.48855670284781855	1	18.78	shared	NA	NA
TCGA-STAD	TOX_AND_DGE	MERGED	1651	336	1315	0.20351302241066022	1.0055341039779997	0.4776907830734046	0.9553815661468092	1	20.35	shared	NA	NA
TCGA-STAD	TOX_AND_DGE	OncoKB	1651	87	1564	0.052695336159903086	0.7459503301771963	0.9959517931555348	0.9999999994595675	1	5.27	shared	NA	NA
TCGA-STAD	TOX_AND_DGE	CGC	1651	29	1622	0.01756511205330103	0.5094087266439582	0.9999454936118759	0.9999999994595675	1	1.76	shared	NA	NA
TCGA-STAD	log_family_mean_TOX	NCG	2227	390	1837	0.17512348450830714	0.9556092064072991	0.7789734750359625	0.9999999994595675	1	17.51	TOX	log	family_mean
TCGA-STAD	log_family_mean_TOX	MERGED	2227	417	1810	0.18724741805118994	0.8873303748376529	0.9797461721983705	0.9999999994595675	1	18.72	TOX	log	family_mean
TCGA-STAD	log_family_mean_TOX	OncoKB	2227	98	2129	0.04400538841490795	0.59118359580348	0.9999998355908222	0.9999999994595675	1	4.4	TOX	log	family_mean
TCGA-STAD	log_family_mean_TOX	CGC	2227	35	2192	0.01571621014818141	0.43717684221871583	0.9999999148093286	0.9999999994595675	1	1.57	TOX	log	family_mean
TCGA-STAD	log_ortholog_mean_TOX	NCG	2327	413	1914	0.17748173614095403	0.9743507585840914	0.6768356465623176	0.9999999994595675	1	17.75	TOX	log	ortholog_mean
TCGA-STAD	log_ortholog_mean_TOX	MERGED	2327	445	1882	0.19123334765792865	0.9147642695575562	0.941244004516492	0.9999999994595675	1	19.12	TOX	log	ortholog_mean
TCGA-STAD	log_ortholog_mean_TOX	OncoKB	2327	101	2226	0.04340352385045122	0.5791159712047836	0.9999999634371532	0.9999999994595675	1	4.34	TOX	log	ortholog_mean
TCGA-STAD	log_ortholog_mean_TOX	CGC	2327	32	2295	0.013751611516974646	0.37463668864184485	0.9999999994595675	0.9999999994595675	1	1.38	TOX	log	ortholog_mean
